,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood Services Directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A list of New Zealand Early Childhood Services including contact details, institution information, regional information and management contact details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^ Email addresses are only listed for Early Childhood Education services that agreed to have their email publicly released.  Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Other Ethnicity includes, Other, MELAA, Not Stated. In the case of Kohanga Reo services Other also includes Asian and European.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll data as at 1 July 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report data last updated on: 22 - June - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Name,Telephone,Fax No,Email^,Street,Suburb,Town / City,Institution Type,Definition,Authority,20 Hours ECE,Equity Index,Territorial Authority with Auckland Local Board,Regional Council,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Management Contact Details,Management Location Address,Management Postal Address,Management Postal Suburb,Management Postal City,Management Contact Phone,Management Contact Fax,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,All Children,Under 2's,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Total Roll,Maori,Pacific,Asian*,European Pakeha*,Other*
40151,Te Kohanga Reo o Ngapeke,07 544 2384,,,Whetu Marae,Welcome Bay,Tauranga,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Western Bay of Plenty District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Ohauiti-Ngapeke,Kaimai Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.227091,-37.71984,25,8,2,2,2,2,2,1,11,11,0,0,0,0
40152,Te Kohanga Reo o Arataki,07 575 2380,,,135 Eversham Road,,Mount Maunganui,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Te Maunga,Mount Maunganui-Papamoa Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.229446,-37.683192,30,5,2,2,2,8,3,0,17,6,0,0,0,11
40154,Te Kohanga Reo o Apanui ki Whakatane,07 307 1116,,,50 Arawa Road,,Whakatane,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Trident,Whakatane-Ohope Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.979728,-37.975635,40,13,0,3,11,5,7,0,26,26,0,0,0,0
40155,Te Kohanga Reo o Kokohinau,07 322 8089,,,Kokohinau Marae,,Te Teko,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 3,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Rotoma,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.813551,-38.010626,35,16,0,6,8,6,8,1,29,28,1,0,0,0
40156,Te Kohanga Reo o Tu Whakaara o Rautahi,07 323 8202,,,36-40 Grey Street,,Kawerau,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Kawerau District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.705303,-38.089398,25,9,0,4,6,5,3,1,19,19,0,0,0,0
40157,Te Kohanga Reo o Taahuna,07 322 8002,,,Te Teko School Main Road,,Te Teko,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Te Teko,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.797263,-38.035383,35,12,0,6,8,6,13,0,33,33,0,0,0,0
40158,Te Kohanga Reo o Taneatua,07 312 9154,,,11 Amokura Street,,Taneatua,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Taneatua,Taneatua-Waimana Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.006976,-38.062592,43,10,0,4,7,3,4,1,19,18,1,0,0,0
40159,Te Kohanga Reo o Te Teko,07 322 8617,,,6 Te Teko Road,,Te Teko,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Te Teko,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.797047,-38.035486,35,8,0,7,9,7,12,2,37,37,0,0,0,0
40160,Te Kohanga Reo o Nga Whetu o Tawera,07 312 9400,,,Ngahina Road,,Whakatane,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Urewera,Taneatua-Waimana Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.984845,-38.152564,15,5,0,2,5,2,0,0,9,7,2,0,0,0
40164,Te Kohanga Reo o Te Whare Aroha o Te Humarie,07 315 8454,,,141 Church Street,,Opotiki,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Opotiki District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Opotiki,Opotiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.284404,-38.001852,40,12,3,5,6,4,2,0,20,20,0,0,0,0
40165,Te Kohanga Reo o Nau Mai,07 366 5064,07 366 5523,,30 Kowhai Drive,,Murupara,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Murupara,Galatea-Murupara Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.706192,-38.457911,25,10,0,4,3,2,2,0,11,9,0,0,0,2
40166,Te Kohanga Reo o Te Tane nui a Rangi ,07 366 5523,,,13-15 Rimu Drive,,Murupara,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Murupara,Galatea-Murupara Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.704858,-38.45454,29,8,1,5,5,3,0,0,14,14,0,0,0,0
40167,Te Kohanga Reo o Nga Tamariki O Te Kohu,07 312 9507,,,Te Rewa Rewa Marae Te Wakaunua Road,,Ruatoki,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Urewera,Taneatua-Waimana Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.004157,-38.139911,25,10,3,4,5,4,3,0,19,18,1,0,0,0
40168,Te Kohanga Reo o Kaingaroa Forest,07 366 9739,,,Kaingaroa Forest School Complex Drive,,Kaingaroa Forest,Te Kohanga Reo,Not Applicable,Community based,No,EQI 1,Rotorua District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Kaingaroa Forest,Area Outside Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.569653,-38.407321,26,4,0,0,3,0,0,0,3,3,0,0,0,0
40169,Te Kohanga Reo o Waitaha ,07 573 6910,,,"147 Manoeka Road, RD 3",,Te Puke,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Western Bay of Plenty District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Te Puke West,Maketu-Te Puke Ward,Te Maari Whare,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3453397,,,,176.295433,-37.775663,23,6,1,3,1,7,10,0,22,22,0,0,0,0
40170,Te Kohanga Reo o Patutaatahi,07 304 9150,,,College Road,,Edgecumbe,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Edgecumbe,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.834953,-37.961936,37,8,2,4,6,12,7,0,31,30,0,0,0,1
40172,Te Kohanga Reo o Te Rereatukahia ,07 549 0534,,,Te Rereatukahia Pa Road,,Katikati,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 3,Western Bay of Plenty District,Bay of Plenty Region,Bay of Plenty/Waiariki,Coromandel,Waiariki,Katikati Community,Katikati-Waihi Beach Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,175.933219,-37.55141,25,7,1,1,4,2,2,0,10,10,0,0,0,0
40173,Te Kohanga Reo o Opopoti,07 544 0542,,,25 Wikitoria Street,Maungatapu-Tauranga,Tauranga,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 4,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Maungatapu,Te Papa-Welcome Bay Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.185403,-37.710293,39,8,0,3,6,5,6,0,20,20,0,0,0,0
40176,Te Kohanga Reo o Te Akau,07 572 1904,,,95 Hartford Ave,Papamoa,Tauranga,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Palm Beach,Mount Maunganui-Papamoa Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.265665,-37.696911,25,10,1,3,7,5,5,1,22,22,0,0,0,0
40178,Te Kohanga Reo o Te Kiriwera Hana ,07 322 8359,,,Te Mapou Marae,,Te Teko,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Rotoma,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.807331,-38.03739,50,15,2,8,9,6,8,1,34,33,0,0,0,1
40179,Te Kohanga Reo o Rangitihi,07 322 2603,,,8 Marae Lane,,Matata,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 3,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Matata,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.762985,-37.890689,15,5,1,1,1,4,2,1,10,7,0,0,0,3
40180,Te Kohanga Reo o Te Kaha Nui A Tiki,07 325 2777,,,Te Whanau A Apanui Area School,,Te Kaha,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Opotiki District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Te Kaha,Coast Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.695355,-37.730573,25,8,1,2,6,3,1,0,13,13,0,0,0,0
40183,Te Kohanga Reo o Tama Ki Hikurangi,07 322 8221,,,Waiohau Marae,,Waiohau,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 3,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Matahina-Minginui,Galatea-Murupara Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.843817,-38.225504,20,5,1,1,4,3,4,0,13,13,0,0,0,0
40184,Te Kohanga Reo o Whangaparaoa,07 325 3623,,,"11555 State Highway 35, Cape Runaway, RD",,Opotiki,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Opotiki District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Cape Runaway,Coast Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.997028,-37.574553,27,10,0,1,1,3,5,1,11,11,0,0,0,0
40185,Te Kohanga Reo o Wairaka,07 307 0023,,,Harvey Street,,Whakatane,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Whakatane North,Whakatane-Ohope Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.004323,-37.950092,24,8,0,4,0,5,4,0,13,13,0,0,0,0
40186,Te Kohanga Reo o Toroa ,07 308 4595,,,100 Patuwai Road,,Whakatane,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Orini,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.9502,-37.95718,30,15,5,5,9,6,5,0,30,30,0,0,0,0
40187,Te Kohanga Reo o Maraenui,07 325 2764,07 325 2764,,State Highway 35,,Opotiki,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Opotiki District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Waiotahi,Waioeka-Waiotahi Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.297664,-37.999655,30,10,1,3,3,5,7,0,19,19,0,0,0,0
40190,Te Kohanga Reo o Maketu Kokiri,07 533 2006,,,Maketu Road,,Maketu,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Western Bay of Plenty District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Maketu Community,Maketu-Te Puke Ward,Te Maari Whare,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3453397,,99212,Tauranga Moana Kahui Ako,176.448884,-37.759206,20,8,0,2,2,3,0,1,8,8,0,0,0,0
40192,Te Kohanga Reo o Tarimano,07 332 2133,,,68 Gloucester Road,,Awahou North-Rotorua,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Rotorua District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Ngongotaha North,Area Outside Ward,Te Maari Whare,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3453397,,,,176.221006,-38.05024,40,12,1,4,11,7,2,0,25,25,0,0,0,0
40193,Te Kohanga Reo o Nga Mokai-a-Koko,07 348 2886,,,11 Tukiterangi Street,Whakarewarewa,Rotorua,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Rotorua District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Whaka,Area Outside Ward,Te Maari Whare,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3453397,,,,176.256002,-38.162703,15,10,2,2,5,2,4,0,15,14,0,0,0,1
40194,Te Kohanga Reo o Te Moananui,07 345 5856,,,Owhata Reserve,Owhata,Rotorua,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 3,Rotorua District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Owhata East,Area Outside Ward,Te Maari Whare,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3453397,,,,176.304064,-38.132379,25,12,1,3,3,1,2,0,10,10,0,0,0,0
40195,Te Kohanga Reo o Mangakino ,07 882 8180,,,Pouakani Marae Moana Crescent,,Mangakino,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Taupo District,Waikato Region,Bay of Plenty/Waiariki,Taupo,Te Tai Hauauru,Mangakino,Mangakino-Pouakani Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,175.775246,-38.366283,20,5,0,3,2,2,1,0,8,8,0,0,0,0
40199,Te Kohanga Reo o Te Paroa,07 308 5152,,,Taiwhakaea Road,Coastlands,Whakatane,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Orini,Rangitaiki Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.9423,-37.931009,47,20,1,4,4,4,1,0,14,14,0,0,0,0
40200,Kids.Com.Educare,07 346 2390,07 346 8485,educare@kidscom.co.nz,16 Lisa Crescent,Mangakakahi,Rotorua,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 2,Rotorua District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Mangakakahi,Area Outside Ward,Linda Irwin,658 Whangaparoa Road,PO Box 628,,Whangaparaoa 0943,07-3462390,,99107,Te Maru o Ngongotaha (Rotorua) Community of Learning,176.216446,-38.132181,46,14,4,7,15,9,12,1,48,40,3,2,3,0
40201,Bright Beginnings Childcare Centre,06 348 7290,06 348 7292,,29 Hatrick Street,,Whanganui,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Whanganui District,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Spriggens Park,Area Outside Ward,Julie Lynneberg,17 Liverpool Street,P O Box 54064,Mana,Wellington 5247,,,99218,Takitini Tahi Kahui Ako,175.044208,-39.936531,37,9,0,9,7,10,6,0,32,10,0,2,20,0
40202,Te Kohanga Reo o Mawake,07 386 0032,,,2 Mawake Place,,Turangi,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Taupo District,Waikato Region,Bay of Plenty/Waiariki,Taupo,Waiariki,Turangi,Turangi-Tongariro Ward,Te Maari Whare,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3453397,,,,175.805398,-38.985116,20,8,0,6,4,1,0,1,12,12,0,0,0,0
40204,Kidz World - Maisey Place,07 349 0632,07 349 0632,beverleycarlton@gmail.com,9 Maisey Place,,Rotorua,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 3,Rotorua District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Fairy Springs,Area Outside Ward,Jamie Buffett,3 Rutland Street,P O Box 10026,Rotorua Mail Centre,Rotorua 3143,,,,,176.227304,-38.119701,90,40,7,19,15,15,19,0,75,41,1,19,11,3
40207,Kids on Nineteen Early Learning Centre,07 578 0828,07 578 5829,kids_on_19@xtra.co.nz,5 Nineteenth Avenue,Tauranga South,Tauranga,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Tauranga,Waiariki,Tauranga South,Te Papa-Welcome Bay Ward,Marlene Best,137a Bassett Road,137a Bassett Road,Remuera,Auckland 1050,,,99085,Tauranga Peninsula Community of Learning,176.150439,-37.709659,42,15,1,7,7,7,10,0,32,17,1,3,11,0
40209,Fairfield Educare Ltd,06 368 6288,,,85 Mac Arthur Street,,Levin,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 3,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru,Levin East,Levin Ward,Johanna Korent,,P O Box 380,,Levin 5540,06-3682921,,,,175.304379,-40.61893,40,15,2,4,5,9,7,0,31,9,4,2,15,0
40210,Te Kohanga Reo o Waikaremoana,06 837 3875,06 837 3875,ipo@kohanga.ac.nz,Waimako Pa Waimako Pa Road,,Tuai,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 4,Wairoa District,Hawke's Bay Region,Bay of Plenty/Waiariki,Napier,Waiariki,Tuai,Area Outside Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.14004,-38.817487,20,10,1,4,4,5,1,2,17,16,1,0,0,0
40212,Te Kohanga Reo o Tanatana,07 312 3565,,,Matahi Valley Road,,Tanatana,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Waimana,Taneatua-Waimana Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.106739,-38.179109,28,13,1,5,6,8,8,0,28,26,1,0,0,1
40213,Te Kohanga Reo o Tumanako,07 323 7887,,,119 River Road,,Kawerau,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Kawerau District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,176.708663,-38.088869,30,8,3,3,5,4,9,0,24,23,1,0,0,0
40214,Tiny Tots Educare,07 348 8476,07 349 1085,tinytotseducare@xtra.co.nz,16 Eason Street,Rotorua Central,Rotorua,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Rotorua District,Bay of Plenty Region,Bay of Plenty/Waiariki,Rotorua,Waiariki,Victoria,Area Outside Ward,Nichole' Thompson,16 Eason Street,69 Tihi Road,Springfield,Rotorua,07-3491085,,99019,Rotorua Central Community of Learning,176.251614,-38.143556,20,15,0,3,6,4,6,0,19,6,3,2,7,0
40215,Te Kohanga Reo o Te Puawaitanga ,07 377 1401,,,30 Opepe Street,,Taupo,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 4,Taupo District,Waikato Region,Bay of Plenty/Waiariki,Taupo,Waiariki,Taupo Central,Taupo-Kaingaroa Ward,Te Maari Whare,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3453397,,,,176.075134,-38.679863,40,12,1,9,6,6,8,0,30,30,0,0,0,0
40217,Te Kohanga Reo o Hakota,07 325 2752,,,State Highway 35,,Omaio,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Opotiki District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Te Kaha,Coast Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.68035,-37.767926,25,10,1,2,5,4,5,0,17,17,0,0,0,0
40218,Te Kohanga Reo o Terere ,07 315 5404,,,Terere Pa Road,,Opotiki,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Opotiki District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Waiotahi,Waioeka-Waiotahi Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.300402,-38.020739,28,10,1,4,2,4,7,1,19,19,0,0,0,0
40221,Te Kohanga Reo o Pirimai ,06 343 6048,06 343 6048,,14 Kaka Place,Whanganui East,Whanganui,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Whanganui District,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Wembley Park,Area Outside Ward,Amelia Paea,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,04-5762005,04-3818777,,,175.06598,-39.906206,30,8,1,3,4,4,1,0,13,13,0,0,0,0
40224,Te Kohanga Reo o Te Uru Karaka ,06 350 4922,,ikaroa@kohanga.ac.nz,Drysdale,Massey University,Palmerston North,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 5+,Palmerston North City,Manawatu-Wanganui Region,Wellington,Rangitikei,Te Tai Hauauru,Massey University,Area Outside Ward,Emily Dakin,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,04-381 8750,04-381 8780,,,175.616754,-40.390894,25,8,1,0,4,5,1,0,11,11,0,0,0,0
40225,Puddleducks' Montessori Preschool,06 356 4616,06 356 4628,hamish@puddleducks.co.nz,43 Parnell Heights,Palmerston North CBD,Palmerston North,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Palmerston North City,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Kelvin Grove,Area Outside Ward,Hamish Davidson,153 Manchester Street,P O Box 51,Feilding,Manawatu 4740,06-3232996,,99052,Palmerston North East Community of Learning,175.654574,-40.321395,50,0,0,0,2,15,18,2,37,4,3,13,14,3
40226,Te Kohanga Reo o Te Huinga o te Ao,07 315 4692,,,Kutarere Marae,,Kutarere,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 1,Opotiki District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Waiotahi,Waioeka-Waiotahi Ward,Ipo Tait,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,07-3060008,,,,177.145236,-38.046714,30,5,0,0,2,0,2,0,4,4,0,0,0,0
40228,Kiwi Clubhouse Learning Centre,06 278 0810,06 278 0803,admin@kiwiclubhouse.co.nz,29 Manawapou Road,,Hawera,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,South Taranaki District,Taranaki Region,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Hawera South,Hawera-Normanby Ward,Julie Davidson,,P O Box 374,,Hawera 4640,06-2780810,,99167,South Taranaki - Hawera Community of Learning,174.274943,-39.59427,50,15,4,15,18,28,11,0,76,23,0,4,45,4
40229,Tui Early Learners - birth to school,06 280 2615,,deborah@tuiearlylearners.co.nz,322 Albert Street,Hokowhitu,Palmerston North,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Palmerston North City,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Hokowhitu West,Area Outside Ward,Deborah Pedersen,16B Osborne Terrace,16B Osborne Terrace,,Feilding 4702,06-280 2615,,99052,Palmerston North East Community of Learning,175.63227,-40.361375,81,20,3,5,16,20,21,1,66,20,3,12,28,3
40230,Eastside Playcentre,,,Eastside@playcentre.org.nz,10 Matarawa Street,Whanganui East,Whanganui,Playcentre,Not Applicable,Community based,Yes,EQI 5+,Whanganui District,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Kowhai Park,Area Outside Ward,Karen Helms,18 Pingau Street,P O Box 57217,Camborne,Porirua 5247,,,,,175.067028,-39.918646,17,10,0,4,4,2,1,0,11,1,0,1,9,0
